month,year,day,early release,meal
March,2025,4,,Pasta with Marinara and Meatballs or Mozzarella
March,2025,5,,Chicken Tenders
March,2025,6,,"Cheese Pizza, Pepperoni Pizza"
March,2025,7,,"Hamburger, Cheeseburger"
March,2025,10,,Yakisoba with Chicken or Vegetables
March,2025,11,,Mozzarella Breadsticks
March,2025,12,,Pancakes with Chicken Sausage and Berry Compote
March,2025,13,,"Cheese Pizza, Pepperoni Pizza"
March,2025,14,,Chicken Fillet Sandwich
March,2025,17,,Orange Chicken with Brown Rice
March,2025,18,,Turkey Hot Dog
March,2025,19,true,"Turkey Ham Sandwich, Cheese Sandwich"
March,2025,20,,"Cheese Pizza, Pepperoni Pizza"
March,2025,21,,Chicken Tenders
March,2025,31,,Chicken Tenders
